File,Line,Column,Property,Aht,Result,Time
,17,1,MEMORY_LEAK,16,sat,0.094
,15,5,INVALID_FREE,17,unsat,0.066
,14,5,INVALID_FREE,16,unsat,0.049
,11,5,INVALID_DEREF,15,unsat,0.029
,10,5,INVALID_DEREF,15,unsat,0.026
,9,17,INVALID_DEREF,9,unsat,0.005
,8,17,INVALID_DEREF,3,unsat,0.001
,,,,,Totaltime:,0.651
test-0019-1.c,17,1,MEMORY_LEAK,20,unsat,0.179
,17,1,MEMORY_LEAK,20,unsat,0.196
,17,1,MEMORY_LEAK,20,unsat,0.182
,15,5,INVALID_FREE,15,unsat,0.030
,14,5,INVALID_FREE,17,unsat,0.062
,13,5,INVALID_FREE,16,unsat,0.046
,11,5,INVALID_DEREF,15,unsat,0.031
,10,5,INVALID_DEREF,15,unsat,0.026
,9,17,INVALID_DEREF,9,unsat,0.005
,8,17,INVALID_DEREF,3,unsat,0.001
,,,,,Totaltime:,0.758
test-0019-2-mutate.c,19,1,MEMORY_LEAK,20,sat,0.185
,19,1,MEMORY_LEAK,20,sat,0.230
,19,1,MEMORY_LEAK,24,sat,0.412
,17,5,INVALID_DEREF,19,unsat,0.099
,16,5,INVALID_DEREF,15,unsat,0.033
,14,9,INVALID_FREE,17,unsat,0.062
,13,9,INVALID_FREE,16,unsat,0.047
,11,5,INVALID_DEREF,15,unsat,0.029
,10,5,INVALID_DEREF,15,unsat,0.028
,9,17,INVALID_DEREF,9,unsat,0.005
,8,17,INVALID_DEREF,3,unsat,0.001
,,,,,Totaltime:,1.131
test-0019-2.c,20,1,MEMORY_LEAK,20,sat,0.194
,20,1,MEMORY_LEAK,20,sat,0.213
,20,1,MEMORY_LEAK,-,unsat,0.000
,18,5,INVALID_FREE,23,unsat,0.229
,17,5,INVALID_DEREF,19,unsat,0.097
,16,5,INVALID_DEREF,15,unsat,0.032
,14,9,INVALID_FREE,17,unsat,0.061
,13,9,INVALID_FREE,16,unsat,0.046
,11,5,INVALID_DEREF,15,unsat,0.031
,10,5,INVALID_DEREF,15,unsat,0.027
,9,17,INVALID_DEREF,9,unsat,0.005
,8,17,INVALID_DEREF,3,unsat,0.001
,,,,,Totaltime:,0.936
test-0232-1.c,26,1,MEMORY_LEAK,11,sat,0.024
,26,1,MEMORY_LEAK,18,unsat,0.118
,22,9,INVALID_FREE,15,unsat,0.043
,21,9,INVALID_DEREF,15,unsat,0.041
,11,5,INVALID_DEREF,7,unsat,0.003
,None,None,INVALID_DEREF,-,unsat,0.000
,None,None,INVALID_DEREF,7,unsat,0.002
,None,None,INVALID_DEREF,7,unsat,0.002
,10,5,INVALID_DEREF,3,unsat,0.001
,,,,,Totaltime:,0.234
test-0232-2-mutate.c,34,1,MEMORY_LEAK,35,unsat,1.893
,34,1,MEMORY_LEAK,37,unsat,3.543
,34,1,MEMORY_LEAK,34,unsat,2.424
,34,1,MEMORY_LEAK,35,unsat,3.137
,30,9,INVALID_FREE,34,unsat,2.528
,30,9,INVALID_FREE,31,unsat,1.222
,29,9,INVALID_DEREF,34,unsat,2.387
,29,9,INVALID_DEREF,31,unsat,1.216
,25,9,INVALID_FREE,31,unsat,1.226
,24,9,INVALID_DEREF,31,unsat,1.243
,24,9,INVALID_FREE,32,unsat,1.498
,24,9,INVALID_FREE,43,unsat,7.641
,10,5,INVALID_DEREF,3,unsat,0.000
,None,None,INVALID_DEREF,7,unsat,0.003
,None,None,INVALID_DEREF,7,unsat,0.003
,None,None,INVALID_DEREF,-,unsat,0.001
,11,5,INVALID_DEREF,7,unsat,0.003
,10,5,INVALID_DEREF,3,unsat,0.001
,None,None,INVALID_DEREF,22,unsat,0.247
,None,None,INVALID_DEREF,22,unsat,0.239
,None,None,INVALID_DEREF,22,unsat,0.240
,11,5,INVALID_DEREF,22,unsat,0.241
,23,9,INVALID_DEREF,31,unsat,1.263
,24,9,INVALID_DEREF,31,unsat,1.168
,24,9,INVALID_FREE,32,unsat,1.494
,,,,,Totaltime:,34.861
test-0232-3-mutate.c,35,1,MEMORY_LEAK,44,unsat,4.515
,35,1,MEMORY_LEAK,37,unsat,3.541
,35,1,MEMORY_LEAK,43,unsat,6.753
,23,9,INVALID_FREE,32,unsat,1.429
,23,9,INVALID_DEREF,31,unsat,1.169
,22,9,INVALID_DEREF,31,unsat,1.185
,11,5,INVALID_DEREF,22,unsat,0.234
,None,None,INVALID_DEREF,22,unsat,0.239
,None,None,INVALID_DEREF,22,unsat,0.229
,None,None,INVALID_DEREF,22,unsat,0.242
,10,5,INVALID_DEREF,3,unsat,0.001
,11,5,INVALID_DEREF,7,unsat,0.003
,None,None,INVALID_DEREF,-,unsat,0.001
,None,None,INVALID_DEREF,7,unsat,0.002
,None,None,INVALID_DEREF,7,unsat,0.003
,10,5,INVALID_DEREF,3,unsat,0.000
,23,9,INVALID_FREE,43,unsat,7.500
,23,9,INVALID_FREE,32,unsat,1.424
